File Name,Sample Type
TCGA-CG-5728-11A-01-TS1.799bd41e-581f-41e3-b7ea-738eefc8fe13.svs,Solid Tissue Normal
TCGA-BR-8382-01A-01-BS1.a5a2d071-32b5-4a47-b12e-551e72f18a16.svs,Primary Tumor
TCGA-VQ-A91Y-01A-01-TS1.67E90E2B-8335-4167-84D9-6E824661EAEC.svs,Primary Tumor
TCGA-BR-8680-01A-01-TS1.69a434d0-ac36-4439-8fcb-0711a16f24a8.svs,Primary Tumor
TCGA-HU-A4H3-01A-02-TS2.BF61DFEF-E08F-4DC1-B807-02D853CCE143.svs,Primary Tumor
TCGA-BR-4361-01A-01-BS1.4886574e-bc5f-45d4-a6c8-f2750506dc3c.svs,Primary Tumor
TCGA-CD-A487-01A-02-TSB.837F195A-EE02-4589-86B7-DB8D8BA46F30.svs,Primary Tumor
TCGA-IN-A7NU-01A-02-TSB.A02DBB97-F71A-4849-A354-1100469A8540.svs,Primary Tumor
TCGA-BR-4357-11A-01-TS1.d5551424-136d-42ac-a078-5210db08512d.svs,Solid Tissue Normal
TCGA-BR-4183-11A-01-BS1.2e22bc60-82a3-42f5-8f55-021f88fafd68.svs,Solid Tissue Normal
TCGA-CG-4462-01A-01-BS1.8655c0a9-39ee-4e10-ac16-d501a9c096a6.svs,Primary Tumor
TCGA-BR-4369-11A-01-BS1.64dafcb4-999c-4e24-8898-d2355a256475.svs,Solid Tissue Normal
TCGA-BR-4362-01A-01-BS1.f4ab73bb-5a47-431a-8520-5c58bc7442fb.svs,Primary Tumor
TCGA-IN-8663-01A-01-BS1.b4492a0a-dd18-4fa8-9d6b-b5301678b25a.svs,Primary Tumor
TCGA-HU-8249-01A-01-TS1.01666f42-6304-49ba-b99e-28bb5420b012.svs,Primary Tumor
TCGA-BR-4292-01A-01-BS1.826347ef-8bbd-4f4a-9b61-295c4726fcce.svs,Primary Tumor
TCGA-HU-A4H0-11A-01-TS1.7BAA5242-93FB-44C7-B7E6-CB3415D3058B.svs,Solid Tissue Normal
TCGA-IN-A6RL-01A-01-TSA.616EF818-5401-47F8-8207-0D296849C3AF.svs,Primary Tumor
TCGA-BR-6457-01A-01-BS1.4e3e4a79-a357-4bd2-b3fe-01ff65b3d5c6.svs,Primary Tumor
TCGA-D7-8575-01A-01-BS1.0f8909f6-fa12-4a4b-839c-653e0e92645d.svs,Primary Tumor
TCGA-D7-6822-01A-01-BS1.dfd06875-8a64-49d0-93b1-74c5b7b5c65a.svs,Primary Tumor
TCGA-FP-8099-01A-01-TS1.1c0a24f2-70dd-4f12-8add-3b1163ce0399.svs,Primary Tumor
TCGA-HU-A4G2-01A-01-TS1.DFE9014C-3606-49EF-B408-56F1C7AC03D5.svs,Primary Tumor
TCGA-HU-A4HB-01A-01-TS1.7F75B114-AC0E-42A9-9ED6-89518E9EA21A.svs,Primary Tumor
TCGA-BR-4256-01A-01-BS1.e634e99c-f4f7-47aa-af3c-2c2700d0a0ae.svs,Primary Tumor
TCGA-IN-AB1X-01A-01-TSA.7CB4F452-6670-4409-9E7E-9F674FCF40C7.svs,Primary Tumor
TCGA-BR-4361-01A-01-TS1.a9a67635-46d2-4163-acc7-fa9d6233313e.svs,Primary Tumor
TCGA-BR-4363-01A-01-BS1.07f8625b-35e3-4886-b981-9ca04b05486a.svs,Primary Tumor
TCGA-BR-6458-11A-01-TS1.55fc04e9-c574-49a0-8e82-1fbede38cbf3.svs,Solid Tissue Normal
TCGA-BR-8366-01A-01-BS1.73b94d78-7a09-4851-b554-ffe213055371.svs,Primary Tumor
TCGA-VQ-A91Z-01A-01-TS1.75500CF5-8AE0-43FD-808B-337392228DEF.svs,Primary Tumor
TCGA-BR-6564-01A-01-TS1.d795aec2-5349-4234-b7ea-9a28a49d247e.svs,Primary Tumor
TCGA-BR-6566-11A-01-TS1.266cfa5a-bf50-4e32-b735-18eab135de76.svs,Solid Tissue Normal
TCGA-BR-7196-01A-01-BS1.70eac61e-f005-414c-8298-b8a040ac8161.svs,Primary Tumor
TCGA-BR-7716-11A-01-TS1.b08f029a-2d4c-4a25-8630-f2877942f0f4.svs,Solid Tissue Normal
TCGA-EQ-5647-11A-01-TS1.c119474d-62a2-459f-b6b0-bca6a43248cc.svs,Solid Tissue Normal
TCGA-BR-6454-11A-01-TS1.56163865-0498-46c0-b57a-fdd45c467b22.svs,Solid Tissue Normal
TCGA-VQ-A8PB-01A-01-TS1.CC7DC1BB-74F1-445E-9681-EE9FB1F942A4.svs,Primary Tumor
TCGA-D7-6518-01A-01-BS1.43420704-66d5-444d-ade3-50612f8abea6.svs,Primary Tumor
TCGA-BR-7901-01A-01-BS1.6cae982c-c32f-414f-9c62-5139e6df9bdc.svs,Primary Tumor
TCGA-BR-4279-11A-01-BS1.9a2efc70-07d2-43e6-80a0-950b2e63bdb9.svs,Solid Tissue Normal
TCGA-IN-A6RN-01A-01-TS1.98DC19A8-8DFE-4A4D-BA9D-FD942CE98C5E.svs,Primary Tumor
TCGA-BR-6453-11A-01-TS1.531beef0-689d-4c05-bee2-4caf9bd33687.svs,Solid Tissue Normal
TCGA-BR-4292-11A-01-TS1.53c178d7-84f6-43ee-bbbc-32a2d2be7e71.svs,Solid Tissue Normal
TCGA-BR-8677-01A-01-TS1.0c13a7c9-5763-434e-8360-a5f04501d419.svs,Primary Tumor
