File Name,Sample Type
TCGA-CG-5728-11A-01-TS1.799bd41e-581f-41e3-b7ea-738eefc8fe13.svs,Solid Tissue Normal
TCGA-BR-8382-01A-01-BS1.a5a2d071-32b5-4a47-b12e-551e72f18a16.svs,Primary Tumor
TCGA-CD-5803-01A-01-TS1.a58a07e2-2e3f-45de-8e14-f1e80abc2533.svs,Primary Tumor
TCGA-VQ-A91Y-01A-01-TS1.67E90E2B-8335-4167-84D9-6E824661EAEC.svs,Primary Tumor
TCGA-BR-8680-01A-01-TS1.69a434d0-ac36-4439-8fcb-0711a16f24a8.svs,Primary Tumor
TCGA-HF-7131-01A-01-TS1.e81e766e-480a-4d8a-943f-8258501c0c91.svs,Primary Tumor
TCGA-CD-A487-01A-02-TSB.837F195A-EE02-4589-86B7-DB8D8BA46F30.svs,Primary Tumor
TCGA-IN-A7NU-01A-02-TSB.A02DBB97-F71A-4849-A354-1100469A8540.svs,Primary Tumor
TCGA-BR-A4J9-01A-01-TSA.555FCA42-9354-4BDD-BF1B-02E2563ED7B7.svs,Primary Tumor
TCGA-BR-4183-11A-01-BS1.2e22bc60-82a3-42f5-8f55-021f88fafd68.svs,Solid Tissue Normal
TCGA-BR-4369-11A-01-BS1.64dafcb4-999c-4e24-8898-d2355a256475.svs,Solid Tissue Normal
TCGA-BR-4362-01A-01-BS1.f4ab73bb-5a47-431a-8520-5c58bc7442fb.svs,Primary Tumor
TCGA-D7-6527-01A-01-BS1.ed001c63-4ca0-49e4-89b3-e2700797ce47.svs,Primary Tumor
TCGA-BR-4187-11A-01-BS1.4b640c36-0cf4-4d23-9548-c06ee79535d8.svs,Solid Tissue Normal
TCGA-HU-8249-01A-01-TS1.01666f42-6304-49ba-b99e-28bb5420b012.svs,Primary Tumor
TCGA-CG-5723-01A-01-BS1.00fee3f3-7e91-487a-a2cd-672c9d3bdee4.svs,Primary Tumor
TCGA-BR-4292-01A-01-BS1.826347ef-8bbd-4f4a-9b61-295c4726fcce.svs,Primary Tumor
TCGA-VQ-AA6I-01A-01-TS1.63DD8C55-4ADD-4DFB-B12B-C416DC50B2AA.svs,Primary Tumor
TCGA-IP-7968-11A-01-TS1.aa84dfd6-6660-4488-b7d6-7652445a6f35.svs,Solid Tissue Normal
TCGA-BR-6457-01A-01-BS1.4e3e4a79-a357-4bd2-b3fe-01ff65b3d5c6.svs,Primary Tumor
TCGA-HU-A4H8-01A-01-TS1.0E090F91-E437-4734-8A17-A73C6A1A570D.svs,Primary Tumor
TCGA-HU-A4HB-01A-01-TS1.7F75B114-AC0E-42A9-9ED6-89518E9EA21A.svs,Primary Tumor
TCGA-D7-A74B-01A-01-TS1.898FC712-4B9F-4E29-BEFB-FE8B59452F4A.svs,Primary Tumor
TCGA-BR-4184-01A-01-BS1.e86a4de7-2c24-4a39-b8e2-b7889f1a6751.svs,Primary Tumor
TCGA-CG-4305-01A-01-TS1.e79aa788-2661-4ed5-955d-f5392bf6582d.svs,Primary Tumor
TCGA-CG-4436-01A-01-BS1.33cee795-4dab-4e6c-a68b-607de717d712.svs,Primary Tumor
TCGA-IN-AB1X-01A-01-TSA.7CB4F452-6670-4409-9E7E-9F674FCF40C7.svs,Primary Tumor
TCGA-BR-4361-01A-01-TS1.a9a67635-46d2-4163-acc7-fa9d6233313e.svs,Primary Tumor
TCGA-BR-4363-01A-01-BS1.07f8625b-35e3-4886-b981-9ca04b05486a.svs,Primary Tumor
TCGA-BR-6458-11A-01-TS1.55fc04e9-c574-49a0-8e82-1fbede38cbf3.svs,Solid Tissue Normal
TCGA-CG-4304-01A-01-BS1.ef8e1f86-8dbd-4941-a016-ed0efc89d35c.svs,Primary Tumor
TCGA-BR-8366-01A-01-BS1.73b94d78-7a09-4851-b554-ffe213055371.svs,Primary Tumor
TCGA-VQ-A91Z-01A-01-TS1.75500CF5-8AE0-43FD-808B-337392228DEF.svs,Primary Tumor
TCGA-BR-6566-11A-01-TS1.266cfa5a-bf50-4e32-b735-18eab135de76.svs,Solid Tissue Normal
TCGA-BR-7716-11A-01-TS1.b08f029a-2d4c-4a25-8630-f2877942f0f4.svs,Solid Tissue Normal
TCGA-D7-6518-01A-01-BS1.43420704-66d5-444d-ade3-50612f8abea6.svs,Primary Tumor
TCGA-BR-7901-01A-01-BS1.6cae982c-c32f-414f-9c62-5139e6df9bdc.svs,Primary Tumor
TCGA-HU-A4GF-01A-01-TS1.D2A0DF6F-AED1-4863-9593-F767F85B5B31.svs,Primary Tumor
TCGA-BR-4279-11A-01-BS1.9a2efc70-07d2-43e6-80a0-950b2e63bdb9.svs,Solid Tissue Normal
TCGA-BR-8485-01A-01-TS1.108a155c-2251-4c07-bce3-1c7d791b7d66.svs,Primary Tumor
TCGA-IN-A6RN-01A-01-TS1.98DC19A8-8DFE-4A4D-BA9D-FD942CE98C5E.svs,Primary Tumor
TCGA-MX-A663-01A-01-TS1.D2C32092-EB6D-4011-8EFF-7487762AD6EF.svs,Primary Tumor
TCGA-BR-6453-11A-01-TS1.531beef0-689d-4c05-bee2-4caf9bd33687.svs,Solid Tissue Normal
TCGA-BR-4292-11A-01-TS1.53c178d7-84f6-43ee-bbbc-32a2d2be7e71.svs,Solid Tissue Normal
TCGA-BR-8677-01A-01-TS1.0c13a7c9-5763-434e-8360-a5f04501d419.svs,Primary Tumor
