File Name,Sample Type
TCGA-CD-5803-01A-01-TS1.a58a07e2-2e3f-45de-8e14-f1e80abc2533.svs,Primary Tumor
TCGA-VQ-A91Y-01A-01-TS1.67E90E2B-8335-4167-84D9-6E824661EAEC.svs,Primary Tumor
TCGA-BR-8680-01A-01-TS1.69a434d0-ac36-4439-8fcb-0711a16f24a8.svs,Primary Tumor
TCGA-IN-A7NU-01A-02-TSB.A02DBB97-F71A-4849-A354-1100469A8540.svs,Primary Tumor
TCGA-VQ-A927-01A-01-TS1.361A306B-93C2-43F5-9155-81F13B6753A8.svs,Primary Tumor
TCGA-BR-4357-11A-01-TS1.d5551424-136d-42ac-a078-5210db08512d.svs,Solid Tissue Normal
TCGA-SW-A7EA-11A-01-TS1.35D9692B-C1D6-4901-92B8-525FD3715757.svs,Solid Tissue Normal
TCGA-BR-4183-11A-01-BS1.2e22bc60-82a3-42f5-8f55-021f88fafd68.svs,Solid Tissue Normal
TCGA-CG-4462-01A-01-BS1.8655c0a9-39ee-4e10-ac16-d501a9c096a6.svs,Primary Tumor
TCGA-BR-4369-11A-01-BS1.64dafcb4-999c-4e24-8898-d2355a256475.svs,Solid Tissue Normal
TCGA-BR-4362-01A-01-BS1.f4ab73bb-5a47-431a-8520-5c58bc7442fb.svs,Primary Tumor
TCGA-IN-8663-01A-01-BS1.b4492a0a-dd18-4fa8-9d6b-b5301678b25a.svs,Primary Tumor
TCGA-BR-4187-11A-01-BS1.4b640c36-0cf4-4d23-9548-c06ee79535d8.svs,Solid Tissue Normal
TCGA-CG-5723-01A-01-BS1.00fee3f3-7e91-487a-a2cd-672c9d3bdee4.svs,Primary Tumor
TCGA-BR-4292-01A-01-BS1.826347ef-8bbd-4f4a-9b61-295c4726fcce.svs,Primary Tumor
TCGA-VQ-AA6I-01A-01-TS1.63DD8C55-4ADD-4DFB-B12B-C416DC50B2AA.svs,Primary Tumor
TCGA-HU-A4H0-11A-01-TS1.7BAA5242-93FB-44C7-B7E6-CB3415D3058B.svs,Solid Tissue Normal
TCGA-IP-7968-11A-01-TS1.aa84dfd6-6660-4488-b7d6-7652445a6f35.svs,Solid Tissue Normal
TCGA-IN-A6RL-01A-01-TSA.616EF818-5401-47F8-8207-0D296849C3AF.svs,Primary Tumor
