File Name,Sample Type
TCGA-BR-8680-01A-01-TS1.69a434d0-ac36-4439-8fcb-0711a16f24a8.svs,Primary Tumor
TCGA-VQ-A94O-01A-01-TS1.D88F40EE-D394-4DB5-B351-4072548428FE.svs,Primary Tumor
TCGA-HF-7131-01A-01-TS1.e81e766e-480a-4d8a-943f-8258501c0c91.svs,Primary Tumor
TCGA-HU-A4H3-01A-02-TS2.BF61DFEF-E08F-4DC1-B807-02D853CCE143.svs,Primary Tumor
TCGA-BR-4361-01A-01-BS1.4886574e-bc5f-45d4-a6c8-f2750506dc3c.svs,Primary Tumor
TCGA-CD-A487-01A-02-TSB.837F195A-EE02-4589-86B7-DB8D8BA46F30.svs,Primary Tumor
TCGA-BR-A4J9-01A-01-TSA.555FCA42-9354-4BDD-BF1B-02E2563ED7B7.svs,Primary Tumor
TCGA-VQ-A927-01A-01-TS1.361A306B-93C2-43F5-9155-81F13B6753A8.svs,Primary Tumor
TCGA-CG-4462-01A-01-BS1.8655c0a9-39ee-4e10-ac16-d501a9c096a6.svs,Primary Tumor
TCGA-D7-6527-01A-01-BS1.ed001c63-4ca0-49e4-89b3-e2700797ce47.svs,Primary Tumor
TCGA-BR-4187-11A-01-BS1.4b640c36-0cf4-4d23-9548-c06ee79535d8.svs,Solid Tissue Normal
TCGA-HU-8249-01A-01-TS1.01666f42-6304-49ba-b99e-28bb5420b012.svs,Primary Tumor
TCGA-CG-5723-01A-01-BS1.00fee3f3-7e91-487a-a2cd-672c9d3bdee4.svs,Primary Tumor
TCGA-VQ-AA6I-01A-01-TS1.63DD8C55-4ADD-4DFB-B12B-C416DC50B2AA.svs,Primary Tumor
TCGA-IP-7968-11A-01-TS1.aa84dfd6-6660-4488-b7d6-7652445a6f35.svs,Solid Tissue Normal
TCGA-HU-A4HB-01A-01-TS1.7F75B114-AC0E-42A9-9ED6-89518E9EA21A.svs,Primary Tumor
TCGA-HU-A4GC-11A-01-TS1.E56EE322-AAB2-4D16-8B9A-5B73B2E1C1CF.svs,Solid Tissue Normal
TCGA-D7-A74B-01A-01-TS1.898FC712-4B9F-4E29-BEFB-FE8B59452F4A.svs,Primary Tumor
TCGA-BR-4256-01A-01-BS1.e634e99c-f4f7-47aa-af3c-2c2700d0a0ae.svs,Primary Tumor
TCGA-CG-4305-01A-01-TS1.e79aa788-2661-4ed5-955d-f5392bf6582d.svs,Primary Tumor
TCGA-IN-AB1X-01A-01-TSA.7CB4F452-6670-4409-9E7E-9F674FCF40C7.svs,Primary Tumor
TCGA-CD-5799-01A-01-TS1.b96981ff-45fe-4be9-bf72-9a6a7aa58ff7.svs,Primary Tumor
TCGA-CG-4304-01A-01-BS1.ef8e1f86-8dbd-4941-a016-ed0efc89d35c.svs,Primary Tumor
TCGA-VQ-A91Z-01A-01-TS1.75500CF5-8AE0-43FD-808B-337392228DEF.svs,Primary Tumor
TCGA-BR-4294-01A-01-BS1.b6ddc148-5a89-49a9-bb85-c155523767ed.svs,Primary Tumor
TCGA-BR-6566-11A-01-TS1.266cfa5a-bf50-4e32-b735-18eab135de76.svs,Solid Tissue Normal
TCGA-FP-A8CX-01A-01-TS1.522485D9-4E43-42E2-AAE3-75ABE2173BF9.svs,Primary Tumor
TCGA-EQ-5647-11A-01-TS1.c119474d-62a2-459f-b6b0-bca6a43248cc.svs,Solid Tissue Normal
TCGA-BR-6454-11A-01-TS1.56163865-0498-46c0-b57a-fdd45c467b22.svs,Solid Tissue Normal
TCGA-BR-4253-01A-01-TS1.1a1e75bd-81e9-4da6-9d2e-b6f0f90b7d18.svs,Primary Tumor
TCGA-BR-7901-01A-01-BS1.6cae982c-c32f-414f-9c62-5139e6df9bdc.svs,Primary Tumor
TCGA-HU-A4GF-01A-01-TS1.D2A0DF6F-AED1-4863-9593-F767F85B5B31.svs,Primary Tumor
TCGA-BR-4279-11A-01-BS1.9a2efc70-07d2-43e6-80a0-950b2e63bdb9.svs,Solid Tissue Normal
TCGA-BR-8485-01A-01-TS1.108a155c-2251-4c07-bce3-1c7d791b7d66.svs,Primary Tumor
TCGA-IN-A6RN-01A-01-TS1.98DC19A8-8DFE-4A4D-BA9D-FD942CE98C5E.svs,Primary Tumor
TCGA-MX-A663-01A-01-TS1.D2C32092-EB6D-4011-8EFF-7487762AD6EF.svs,Primary Tumor
TCGA-IN-8462-01A-01-TS1.724b35b4-2d5b-4440-bc87-291aa69408da.svs,Primary Tumor
TCGA-FP-A4BE-01A-01-TS1.6597A8E0-8F8C-4547-8E0D-CE73F97BFE81.svs,Primary Tumor
TCGA-BR-6709-11A-01-TS1.a199ca9f-8513-4832-b019-128265b8d702.svs,Solid Tissue Normal
TCGA-BR-4366-01A-01-BS1.eb289f98-b009-4d75-af49-52afeb495f51.svs,Primary Tumor
TCGA-D7-8572-01A-01-BS1.64fd974e-c442-4211-b657-aadb0739ec81.svs,Primary Tumor
TCGA-D7-A6EX-01A-01-TS1.1DB8565C-6B94-4C91-A83C-ED6CDC1F474D.svs,Primary Tumor
TCGA-VQ-AA6D-01A-01-TS1.5284A9CC-F9A3-488F-94C7-1C5BD5FEEBD3.svs,Primary Tumor
TCGA-IN-A6RI-01A-01-TS1.CACC8D66-4B7C-403C-8A7F-1EB646916669.svs,Primary Tumor
TCGA-BR-7703-01A-01-BS1.1da06762-09f6-4f37-ae9c-5e5dc9a9a4c5.svs,Primary Tumor
TCGA-VQ-A928-01A-01-TS1.41346D3A-11AC-46F9-BEC1-5A1AFAE987D2.svs,Primary Tumor
TCGA-HU-A4GN-01A-01-TS1.4FEFED8E-585C-40FE-9D6B-90EBB95B685C.svs,Primary Tumor
TCGA-CG-5726-01A-01-BS1.f7ac1ec6-2de0-417d-be7a-b8ca4dd05ec1.svs,Primary Tumor
TCGA-D7-A4YV-01A-01-TS1.2437CBE2-8D14-4301-9DD6-A74BA29B1326.svs,Primary Tumor
TCGA-BR-8371-01A-01-BS1.6a2326a2-7bcb-42cf-8f4e-c03da3a14236.svs,Primary Tumor
TCGA-BR-4294-11A-01-BS1.d865893a-19eb-43d2-9210-00c7ad62bfcc.svs,Solid Tissue Normal
TCGA-BR-7957-01A-01-BS1.8f71850e-64eb-4e0a-bbc8-3c8f429c2222.svs,Primary Tumor
TCGA-CG-5724-01A-01-TS1.c737edfd-6dad-4f3d-a0b8-295039be1244.svs,Primary Tumor
